,,Title,Datetime,Source,URL
newsriv,0,"10 more coronavirus patients die in Black Country, Staffordshire and Birmingham",2020-05-17T13:58:06.998+0000,Express & Star,https://www.expressandstar.com/news/health/coronavirus-covid19/2020/05/17/10-more-coronavirus-patients-die-in-black-country-staffordshire-and-birmingham/
newsriv,1,Coronavirus fight could delay NHS staff appraisals,2020-06-02T17:32:23.477+0000,Shropshire Star,https://www.shropshirestar.com/news/health/coronavirus-covid19/2020/06/02/coronavirus-fight-could-delay-nhs-staff-appraisals/
newsriv,2,Covid-19 coronavirus: Top intensive care doctor admits he is scared,2020-03-23T20:46:36.671+0000,New Zealand Herald,https://www.nzherald.co.nz/nz/news/article.cfm?c_id=1&objectid=12319273
newsriv,3,COVID-19 Call Center is the Place for Grays Harbor Residents to Ask Questions,2020-03-24T19:16:47.913+0000,graysharbortalk.com/,http://www.graysharbortalk.com/2020/03/24/covid-19-call-center-is-the-place-for-grays-harbor-residents-to-ask-questions/
newsriv,4,GP referrals drop across Black Country and Staffordshire,2020-05-27T05:08:59.719+0000,Express & Star,https://www.expressandstar.com/news/health/coronavirus-covid19/2020/05/27/gp-referrals-drop-across-black-country-and-staffordshire/
newsriv,5,Coronavirus: Scientists describe how and where to allocate stockpiled ventilators during a pandemic,2020-03-22T09:06:45.736+0000,The Financial Express,https://www.financialexpress.com/lifestyle/health/coronavirus-scientists-describe-how-and-where-to-allocate-stockpiled-ventilators-during-a-pandemic/1905915/
newsriv,6,Spain’s mass COVID-19 deaths tipped to surpass Italy,2020-04-10T04:48:50.925+0000,The Daily Telegraph,https://www.dailytelegraph.com.au/news/world/spains-mass-covid19-deaths-tipped-to-surpass-italy/video/9fb1ae3d60504ce8989f5c62adea8088
newsriv,7,International Medical Corps and MediSys Health Network Hospitals Partner to Respond to COVID-19,2020-04-10T02:23:27.586+0000,PressReleasePoint | Free Press Release Distribution Website | Submit Press Releases,https://www.pressreleasepoint.com/international-medical-corps-and-medisys-health-network-hospitals-partner-respond-covid-19
newsriv,8,W.H.O declares Europe the new COVID-19 epicentre,2020-03-13T22:32:47.387+0000,The Daily Telegraph,https://www.dailytelegraph.com.au/news/world/who-declares-europe-the-new-covid19-epicentre/video/ef4181c6d42b8ee890c49781f2ea971a
newsriv,9,W.H.O declares Europe the new COVID-19 epicentre,2020-03-13T22:01:31.228+0000,Herald Sun,https://www.heraldsun.com.au/news/world/who-declares-europe-the-new-covid19-epicentre/video/ef4181c6d42b8ee890c49781f2ea971a
newsriv,10,US Army Reserve FEST members assist USACE’s COVID19 response projects for Navajo Nation,2020-05-01T03:38:06.111+0000,DVIDS,https://www.dvidshub.net/news/368960/us-army-reserve-fest-members-assist-usaces-covid19-response-projects-navajo-nation
newsriv,11,Zensors Offers AI Platform to Assist Cities & Businesses with Social Distancing Compliance for COVID-19,2020-03-19T02:13:07.883+0000,getnews.info/,http://www.getnews.info/1015875/zensors-offers-ai-platform-to-assist-cities-businesses-with-social-distancing-compliance-for-covid19.html
newsriv,12,Medela opens New Production Line in the US and more than Triples Production in Switzerland of Critical Portable Suction Systems Aiding Hospital Ventilator Support and Patients with COVID-19,2020-05-19T00:02:37.013+0000,Finanzen.net GmbH,https://www.finanzen.ch/nachrichten/aktien/medela-opens-new-production-line-in-the-us-and-more-than-triples-production-in-switzerland-of-critical-portable-suction-systems-aiding-hospital-ventilator-support-and-patients-with-covid-19-1029212779
newsriv,13,International Medical Corps and Vista Medical Center East Partner to Respond to COVID-19 Surge,2020-04-16T23:21:44.089+0000,Finanzen.net GmbH,https://www.finanzen.ch/nachrichten/aktien/international-medical-corps-and-vista-medical-center-east-partner-to-respond-to-covid-19-surge-1029100474
newsriv,14,Coronavirus patients taking remdesivir are 65% more likely to see their condition improve by day 11,2020-06-01T17:20:49.717+0000,The Daily Mail,https://www.dailymail.co.uk/news/article-8377141/Coronavirus-patients-taking-remdesivir-65-likely-condition-improve-day-11.html?ns_mchannel=rss&ito=1490&ns_campaign=1490
newsriv,15,"Singapore to block new visitors from Iran, northern Italy or South Korea as minister warns of new spikes in cases",2020-03-03T09:41:02.231+0000,Channel News Asia (Singapore),https://www.channelnewsasia.com/news/singapore/covid19-coronavirus-lawrence-wong-iran-korea-italy-checkpoints-12494744?cid=cna_flip_070214
newsriv,16,Grays Harbor Health Officer Orders COVID-19 Testing be Prioritized,2020-03-30T14:37:11.286+0000,graysharbortalk.com/,http://www.graysharbortalk.com/2020/03/30/grays-harbor-health-officer-orders-covid-19-testing-be-prioritized/
newsriv,17,Medela opens New Production Line in the US and more than Triples Production in Switzerland of Critical Portable Suction Systems Aiding Hospital Ventilator Support and Patients with COVID-19,2020-05-19T07:30:12.172+0000,Finanzen.net GmbH,https://www.finanzen.ch/nachrichten/aktien/medela-opens-new-production-line-in-the-us-and-more-than-triples-production-in-switzerland-of-critical-portable-suction-systems-aiding-hospital-ventilator-support-and-patients-with-covid-19-1029213471
newsriv,18,Omnicell introduces innovative COVID-19 Item Forecast Report to help healthcare staff on global pandemic frontline,2020-05-22T18:31:11.440+0000,bdaily.co.uk/,https://bdaily.co.uk/articles/2020/05/22/omnicell-introduces-innovative-covid-19-item-forecast-report-to-help-healthcare-staff-on-global-pandemic-frontline
newsriv,19,Grays Harbor Public Health Opens Bi-Lingual Information Line to Answer Questions About COVID-19,2020-03-23T19:14:13.769+0000,graysharbortalk.com/,http://www.graysharbortalk.com/2020/03/23/grays-harbor-public-health-opens-bi-lingual-information-line-to-answer-questions-about-covid-19/
newsriv,20,Coronavirus: Nordic authorities use tech in fight against Covid-19,2020-04-15T10:56:48.142+0000,ComputerWeekly.com,https://www.computerweekly.com/news/252481624/Coronavirus-Nordic-authorities-use-tech-in-fight-against-Covid-19
newsriv,21,BAPS Charities’ Comprehensive and Global Response to COVID-19,2020-05-08T12:07:41.184+0000,India Web Post,https://www.indiapost.com/baps-charities-comprehensive-and-global-response-to-covid-19/
newsriv,22,UK patients will trial 'promising' Japanese-made Covid-19 drug,2020-05-01T18:20:50.304+0000,London Evening Standard,https://www.standard.co.uk/news/uk/uk-coronavirus-patients-trial-japanese-covid19-drug-a4429731.html
newsriv,23,Intermountain Healthcare Begins Limited COVID-19 Antibody Testing,2020-05-06T21:19:24.474+0000,releasewire.com/,http://www.releasewire.com/press-releases/intermountain-healthcare-begins-limited-covid-19-antibody-testing-1290060.htm
newsriv,24,CORRECTING and REPLACING Synergy Laboratories Adds to Its Arsenal of COVID-19 Diagnostic Tools,2020-05-28T21:38:07.993+0000,biotech-365.com/,https://biotech-365.com/correcting-and-replacing-synergy-laboratories-adds-to-its-arsenal-of-covid-19-diagnostic-tools/
